goods_no,rank,title,subtitle,author,publisher,publish_date,discount_rate,sale_price,original_price,point,sale_index,review_count,rating
125606390,108,Do it! C++ 완전 정복,기초부터 실전까지 제대로 배운다!,"조규남, 문종채",이지스퍼블리싱,2024년 03월,10%,28800,32000,"1,600원",4266,24,9.2
59566585,109,데이터 중심 애플리케이션 설계,신뢰할 수 있고 확장 가능하며 유지보수하기 쉬운 시스템을 지탱하는 핵심 아이디어,"마틴 클레프만/정재부, 김영준, 이도경 역",위키북스,2018년 04월,10%,32400,36000,"1,800원",3960,21,8.8
192687429,110,내 AI 천재로 키우는 법 1,요구 방법부터 공부-수행 평가-자서전 쓰기 적용까지,이태종,이태종NIE논술연구소,2026년 07월,10%,22500,25000,"1,250원",858,3,10.0
192326062,111,한눈에 보는 대한민국 코스피,"I 반도체부터 K-방산·조선·엔터까지, 코스피 1만 시대를 선점하는 투자 내비게이션",MrTrigger,한빛미디어,2026년 06월,10%,23400,26000,"1,300원",966,40,10.0
190216116,112,"캔바로 만든 디자인, 돈이 됩니다","기획 및 포트폴리오부터 템플릿, 콘텐츠 판매까지 캔바 앰배서더 리몬이 알려주는",리몬(안형선),길벗,2026년 06월,10%,19800,22000,"1,100원",3408,44,10.0
189790267,113,Do it! 유니티 6로 게임 제작 & 출시하기,AI 시대에 게임 업계가 바라는 제작 전략을 담았다!,고정운,이지스퍼블리싱,2026년 05월,10%,32400,36000,"1,800원",1794,2,10.0
189520507,114,된다! 스레드 활용법,알고리즘 타고 조회수 터지는 글쓰기 공식! 짧은 글로 시작하는 브랜딩 & 수익화,거북이걸음,이지스퍼블리싱,2026년 06월,10%,19800,22000,"1,100원",2718,35,10.0
187703288,115,만들면서 배우는 AI 에이전트 개발 입문+실전,"랭그래프로 완성하는 단계별 싱글·멀티 에이전트 시스템, LLM 라우팅부터 MCP와 A2A 실전 구현까지",박나연(공원나연),한빛미디어,2026년 05월,10%,33300,37000,"1,850원",4779,45,9.6
187039263,116,퇴근이 빨라지는 제미나이 & 노트북LM 업무 자동화 정석 엑셀 X AI,,권현욱,디지털북스,2026년 04월,10%,19800,22000,"1,100원",2934,6,10.0
187024885,117,요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기,"인공지능 코딩, 부업, 수익화, 파이프 라인, 파이썬, 매크로, 엑셀 자동화, 깃허브, 웹 크롤링, API 연동, 커서 룰, CLAUDE.MD, 크몽 생존 전략, 견적 산정, 고객 응대 기술 누적 수익 5천! 비전공자 40대 차장의 AI",불혹코딩,골든래빗,2026년 05월,10%,23400,26000,"1,300원",3852,15,9.9
184570770,118,인스타그램 릴스 & 알고리즘 공략법 : 100만 조회수 만들기,,서진원,이은북,2026년 04월,10%,16020,17800,890원,2070,121,9.9
176919464,119,된다! 피그마 디자인 10분 레시피,SNS 콘텐츠 + UX/UI + 웹 디자인 + AI 활용,"하이서, 김대일, 김시원, 최유빈",이지스퍼블리싱,2026년 02월,10%,25200,28000,"1,400원",3468,27,10.0
176901915,120,"요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!","체듀테크(체육+에듀테크), 체육수업설계, 학생성장기록, 시범부담해소, 교실/체육관 대안수업, 체육수업데이터화, 자기주도적 신체활동, AI기반체육수업","임우균, 서지원",앤써북,2026년 02월,10%,15120,16800,840원,2421,19,10.0
